,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
674,Adventure,Animation,Comedy,Family,,,,
675,Crime,Drama,Thriller,,,,,
676,Animation,Comedy,Romance,,,,,
677,Crime,,,,,,,
678,Animation,Comedy,Drama,,,,,
679,Action,Adventure,Crime,Thriller,,,,
680,Action,Animation,Comedy,Horror,Mystery,Thriller,,
681,Comedy,Horror,,,,,,
682,Action,Adventure,Horror,,,,,
683,Drama,,,,,,,
684,Drama,Romance,,,,,,
685,Action,Adventure,ScienceFiction,,,,,
686,Drama,,,,,,,
687,Comedy,Romance,,,,,,
688,Thriller,,,,,,,
689,Adventure,Comedy,Fantasy,,,,,
690,Comedy,Drama,Romance,,,,,
691,Action,Crime,,,,,,
692,Action,Drama,Thriller,War,,,,
693,Animation,Comedy,Family,ScienceFiction,,,,
694,Action,Crime,Drama,,,,,
695,Action,Adventure,Fantasy,,,,,
696,Adventure,Mystery,ScienceFiction,,,,,
