,Unnamed: 0,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
125,125,200000000,https://www.fantasticbeasts.com,338953,tt4123432,405161334,142,en,"professor albus dumbledore knows powerful, dark wizard gellert grindelwald moving seize control wizarding world  unable stop alone, entrusts magizoologist newt scamander lead intrepid team wizards witches  soon encounter array old new beasts clash grindelwald's growing legion followers ",231.473,Fantastic Beasts: The Secrets of Dumbledore,6.8,3112,2022,Action,Adventure,Fantasy,,,,,
126,126,100000,,420634,tt4281724,0,84,en,"halloween night, young woman finds obsession sadistic murderer known art clown ",228.948,Terrifier,6.6,1224,2016,Horror,Thriller,,,,,,
128,128,125000000,https://www.warnerbros.com/movies/harry-potter-and-sorcerers-stone/,671,tt0241527,976475550,152,en,"harry potter lived stairs aunt uncle's house whole life  11th birthday, learns he's powerful wizard with place waiting hogwarts school witchcraft wizardry  learns harness newfound powers help school's kindly headmaster, harry uncovers truth parents' deaths and villain who's blame ",226.421,Harry Potter and the Philosopher's Stone,7.9,23757,2001,Adventure,Fantasy,,,,,,
129,129,0,http://watchermovie.com,807356,tt12004038,2667033,96,en,"serial killer stalks city, julia   young actress moved town husband   notices mysterious stranger watching across street ",225.947,Watcher,6.5,396,2022,Horror,Mystery,Thriller,,,,,
130,130,0,,665899,tt10506876,0,85,en,"deep underbelly new york city, five year old girl mother live among community claimed abandoned subway tunnels home  sudden police mandated eviction, pair forced flee aboveground brutal winter night  determined return home, fight find shelter world thrown chaos ",225.24,Topside,7.6,29,2022,Drama,,,,,,,
131,131,0,,960096,tt19853002,0,87,es,"father son, isolated dilapidated country house, try survive hellish summer  hunting days campfire nights, son begins perceive strange connection father nature surrounds them  ancestral secret revealed ",223.215,The Bush,5.0,2,2022,Thriller,,,,,,,
133,133,2500000,,924482,tt6805938,0,86,en,"rock climbing adventure two friends turns terrifying nightmare  kelly captures murder best friend camera, becomes next target tight knit group friends stop nothing destroy evidence anyone way  desperate safety, begins treacherous climb mountain cliff survival instincts put test becomes trapped killers 20 feet away ",215.134,The Ledge,6.2,138,2022,Action,Adventure,Crime,Mystery,Thriller,,,
135,135,10000000,https://a24films.com/films/x,760104,tt13560574,14779858,106,en,"1979, group young filmmakers set make adult film rural texas, reclusive, elderly hosts catch act, cast find fighting lives  hilarity ensues ",212.116,X,6.8,1428,2022,Horror,Mystery,Thriller,,,,,
137,137,22000000,,714869,tt10405142,0,97,fr,"claude marie verneuil soon celebrating 40th wedding anniversary  occasion, four daughters   isabelle, odile, ségolène laure   decide organize big surprise party family home chinon  also decide invite, each, parents respective husbands   rachid benassem, david benichou, chao ling charles koffi ",209.119,Serial (Bad) Weddings 3,6.5,164,2022,Comedy,,,,,,,
138,138,20000000,https://www.halloweenmovie.com,616820,tt10665342,103000000,111,en,"four years events halloween 2018, laurie decided liberate fear rage embrace life  young man accused killing boy babysitting, ignites cascade violence terror force laurie finally confront evil can’t control, all ",208.674,Halloween Ends,6.5,1051,2022,Horror,Thriller,,,,,,
139,139,0,https://www.netflix.com/title/81477797,1053110,tt23722792,0,90,en,lisa thinks finally met man dreams finds still believes santa claus ,207.324,I Believe in Santa,5.4,69,2022,Comedy,Romance,,,,,,
141,141,0,https://www.hulu.com/movie/its-a-wonderful-binge-55064e55-bd87-44d6-8798-411c767b1df3,1026624,tt16532314,0,99,en,"like original film, sequel set near future drinking drugs banned except one glorious day known binge  year, day happens miraculously land christmas ",205.977,It's a Wonderful Binge,5.2,68,2022,Comedy,,,,,,,
142,142,0,,854554,tt12579120,0,102,es,"every year, los pinos school, prestigious school confessional type, sends students retreat countryside  watchful eye teachers priests, children led path physical moral development  gaze several middle upper class teenagers, film shows upbringing affects future society itself ",205.718,The Hole in the Fence,6.0,7,2021,Drama,,,,,,,
143,143,0,,1027385,tt16375952,0,0,en,family reunion remote mansion takes lethal turn trapped inside forced play deadly survival game one make alive ,204.9,Dangerous Game: The Legacy Murders,7.9,20,2022,Horror,Thriller,,,,,,
144,144,200000000,https://www.warnerbros.com/movies/godzilla-vs-kong,399566,tt5034838,470067014,114,en,"time monsters walk earth, humanity’s fight future sets godzilla kong collision course see two powerful forces nature planet collide spectacular battle ages ",204.864,Godzilla vs. Kong,7.7,8452,2021,Action,Fantasy,ScienceFiction,,,,,
145,145,0,,888838,tt15389372,0,78,en,"two impoverished teenage brothers manage escape abusive father, embark treacherous haunted journey hope finding estranged mother joined sadistic cult, deep woods northwest pennsylvania ",204.597,The Long Dark Trail,5.1,8,2021,Horror,,,,,,,
